date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
01/01/2001,0.0231,28.16,26.14,0.1936,5.108,,,,
01/02/2001,0.0228,28.4,26.31,0.1957,5.197,,,,
01/03/2001,0.0229,28.62,26.29,0.197,5.284,,,,
01/04/2001,0.0219,28.74,25.29,0.1976,5.283,,,,
01/05/2001,0.0214,28.83,25.67,0.1977,5.306,,,,
01/06/2001,0.0213,29.14,24.82,0.199,5.381,,,,
01/07/2001,0.0208,29.07,24.57,0.198,5.439,,,,
01/08/2001,0.0206,29.32,25.68,0.1994,5.549,,,,
01/09/2001,0.0201,29.41,27.01,0.1997,5.515,,,,
01/10/2001,0.0198,29.39,26.86,0.1988,5.505,,,,
01/11/2001,0.0196,29.68,26.89,0.2003,5.515,,,,
01/12/2001,0.0193,29.9,26.52,0.2007,5.576,,,,
01/01/2002,0.0188,30.1372,26.6172,0.2,5.6672,,,,
01/02/2002,0.0186,30.6797,26.4306,0.202,5.7469,,,,
01/03/2002,0.0184,30.9404,26.7634,0.2034,5.8117,,,,
01/04/2002,0.0181,31.1192,27.1515,0.2042,5.8472,,,,
01/05/2002,0.0179,31.1951,28.1785,0.204,5.8398,,,,
01/06/2002,0.0176,31.3058,29.3711,0.2043,5.8601,,,,
01/07/2002,0.0175,31.4471,31.0792,0.2051,5.8869,,,,
01/08/2002,0.0171,31.4568,30.8717,0.204,5.8853,,,,
01/09/2002,0.017,31.5673,31.0938,0.2043,5.8706,,,,
01/10/2002,0.0169,31.6827,31.1409,0.2048,5.8723,,,,
01/11/2002,0.0167,31.7701,31.3666,0.2057,5.8735,,,,
01/12/2002,0.0166,31.8424,31.6736,0.2056,5.8998,,,,
01/01/2003,0.0164,31.7844,33.2719,0.2039,5.9419,,,,
01/02/2003,0.0163,31.8345,34.429,0.2056,5.9418,,,,
01/03/2003,0.016,31.5729,33.9409,0.2082,5.8945,,,,
01/04/2003,0.0157,31.3801,33.9815,0.2062,5.8547,,,,
